[ 2.6951e-01,  4.1577e-02,  1.9688e+02,  6.2496e+01,  8.2820e-02, -8.6909e-02],
[-2.6943e-01, -4.1567e-02,  1.9684e+02,  6.2510e+01, -8.2796e-02,  8.6883e-02],
[ 2.7083e-01,  4.1787e-02,  1.9688e+02,  6.2496e+01,  8.3206e-02, -8.7339e-02],
[ 2.7083e-01,  4.1787e-02,  1.9688e+02,  6.2496e+01,  8.3206e-02, -8.7339e-02],
[ 2.7083e-01,  4.1787e-02,  1.9688e+02,  6.2496e+01,  8.3206e-02, -8.7339e-02],
[ 2.7083e-01,  4.1787e-02,  1.9688e+02,  6.2496e+01,  8.3206e-02, -8.7339e-02],
[ 2.7083e-01,  4.1787e-02,  1.9688e+02,  6.2496e+01,  8.3206e-02, -8.7339e-02],
[ 2.7083e-01,  4.1787e-02,  1.9688e+02,  6.2496e+01,  8.3206e-02, -8.7339e-02],
[ 2.7083e-01,  4.1787e-02,  1.9688e+02,  6.2496e+01,  8.3206e-02, -8.7339e-02],
[ 2.7083e-01,  4.1787e-02,  1.9688e+02,  6.2496e+01,  8.3206e-02, -8.7339e-02],
[-3.7328e-01, -8.8354e-02,  2.9494e+02,  8.6928e+01,  1.2760e-01,  9.1710e-02],
[ 4.2284e-01,  7.2285e-02,  2.9498e+02,  8.6683e+01,  7.8983e-01, -1.2733e-01],
[-3.7473e-01, -8.9364e-02,  2.9494e+02,  8.6518e+01,  9.4479e-01,  9.1985e-02],
[ 3.9350e-01,  1.0044e-01,  2.9498e+02,  8.6263e+01,  1.5975e+00, -1.1923e-01],
[ 3.3308e-01,  7.6255e-02,  2.9499e+02,  8.6067e+01,  1.9851e+00, -1.2584e-01],
[-3.1246e-01, -6.6469e-02,  2.9494e+02,  8.5895e+01,  2.1902e+00,  9.7814e-02],
[ 3.3065e-01,  7.5665e-02,  2.9499e+02,  8.5658e+01,  2.7999e+00, -1.2508e-01],
[-3.0895e-01, -6.4692e-02,  2.9493e+02,  8.5485e+01,  3.0062e+00,  9.6976e-02],
[ 3.2577e-01,  7.4346e-02,  2.9499e+02,  8.5250e+01,  3.6130e+00, -1.2352e-01],
